Time	ECG	Heart Rate
0	0	87.5912
0.005	0	87.5912
0.01	0	87.5912
0.015	0	87.5912
0.02	0	87.5912
0.025	0	87.5912
0.03	0	87.5912
0.035	0	87.5912
0.04	0	87.5912
0.045	0	87.5912
0.05	0	87.5912
0.055	0	87.5912
0.06	0	87.5912
0.065	0	87.5912
0.07	0	87.5912
0.075	0	87.5912
0.08	0	87.5912
0.085	0	87.5912
0.09	0	87.5912
0.095	0	87.5912
0.1	0	87.5912
0.105	0	87.5912
0.11	0	87.5912
0.115	0	87.5912
0.12	0	87.5912
0.125	0	87.5912
0.13	0	87.5912
0.135	0	87.5912
0.14	0	87.5912
0.145	0	87.5912
0.15	0	87.5912
0.155	0	87.5912
0.16	0	87.5912
0.165	0	87.5912
0.17	0	87.5912
0.175	0	87.5912
0.18	0	87.5912
0.185	0	87.5912
0.19	0	87.5912
0.195	0	87.5912
0.2	0	87.5912
0.205	0	87.5912
0.21	0	87.5912
0.215	0	87.5912
0.22	0	87.5912
0.225	0	87.5912
0.23	0	87.5912
0.235	0	87.5912
0.24	0	87.5912
0.245	0	87.5912
0.25	0	87.5912
0.255	0	87.5912
0.26	0	87.5912
0.265	0	87.5912
0.27	0	87.5912
0.275	0	87.5912
0.28	0	87.5912
0.285	0	87.5912
0.29	0	87.5912
0.295	0	87.5912
0.3	0	87.5912
0.305	0	87.5912
0.31	0	87.5912
0.315	0	87.5912
0.32	0	87.5912
0.325	0	87.5912
0.33	0	87.5912
0.335	0	87.5912
0.34	0	87.5912
0.345	0	87.5912
0.35	0	87.5912
0.355	0	87.5912
0.36	0	87.5912
0.365	0	87.5912
0.37	0	87.5912
0.375	0	87.5912
0.38	0	87.5912
0.385	0	87.5912
0.39	0	87.5912
0.395	0	87.5912
0.4	0	87.5912
0.405	0	87.5912
0.41	0	87.5912
0.415	0	87.5912
0.42	0	87.5912
0.425	0	87.5912
0.43	0	87.5912
0.435	0	87.5912
0.44	0	87.5912
0.445	0	87.5912
0.45	0	87.5912
0.455	0	87.5912
0.46	0	87.5912
0.465	0	87.5912
0.47	0	87.5912
0.475	0	87.5912
0.48	0	87.5912
0.485	0	87.5912
0.49	0	87.5912
0.495	0	87.5912
0.5	0	87.5912
0.505	0	87.5912
0.51	0	87.5912
0.515	0	87.5912
0.52	0	87.5912
0.525	0	87.5912
0.53	0	87.5912
0.535	0	87.5912
0.54	0	87.5912
0.545	0	87.5912
0.55	0	87.5912
0.555	0	87.5912
0.56	0	87.5912
0.565	0	87.5912
0.57	0	87.5912
0.575	0	87.5912
0.58	0	87.5912
0.585	0	87.5912
0.59	0	87.5912
0.595	0	87.5912
0.6	0	87.5912
0.605	0	87.5912
0.61	0	87.5912
0.615	0	87.5912
0.62	0	87.5912
0.625	0	87.5912
0.63	0	87.5912
0.635	0	87.5912
0.64	0	87.5912
0.645	0	87.5912
0.65	0	87.5912
0.655	0	87.5912
0.66	0	87.5912
0.665	0	87.5912
0.67	0	87.5912
0.675	0	87.5912
0.68	0	87.5912
0.685	0	87.5912
0.69	0	87.5912
0.695	0	87.5912
0.7	0	87.5912
0.705	0	87.5912
0.71	0	87.5912
0.715	0	87.5912
0.72	0	87.5912
0.725	0	87.5912
0.73	0	87.5912
0.735	0	87.5912
0.74	0	87.5912
0.745	0	87.5912
0.75	0	87.5912
0.755	0	87.5912
0.76	0	87.5912
0.765	0	87.5912
0.77	0	87.5912
0.775	0	87.5912
0.78	0	87.5912
0.785	0	87.5912
0.79	0	87.5912
0.795	0	87.5912
0.8	0	87.5912
0.805	0	87.5912
0.81	0	87.5912
0.815	0	87.5912
0.82	0	87.5912
0.825	0	87.5912
0.83	0	87.5912
0.835	0	87.5912
0.84	0	87.5912
0.845	0	87.5912
0.85	0	87.5912
0.855	0	87.5912
0.86	0	87.5912
0.865	0	87.5912
0.87	0	87.5912
0.875	0	87.5912
0.88	0	87.5912
0.885	0	87.5912
0.89	0	87.5912
0.895	0	87.5912
0.9	0	87.5912
0.905	0	87.5912
0.91	0	87.5912
